20241111|1000065|1734092455|1736684455
20241111|1000069|1734092426|1736684426
20241111|1000028|1734092410|1736684410
20241111|1000067|1734092395|1736684395
20241111|1000073|1734092380|1736684380
20213129|1000076|1734092291|1736684291
20213129|1000057|1734092274|1736684274
20213129|1000054|1734092251|1736684251
20213129|1000035|1734092235|1736684235
20213129|1000080|1734092201|1736684201
20213129|1000014|1734092165|1736684165
20213129|1000023|1734092092|1736684092
20213129|1000100|1734091996|1736683996
20213129|1000088|1734091974|1736683974
20213129|1000009|1734091949|1736683949
20213129|1000010|1734091919|1736683919
20213129|1000086|1734091871|1736683871
20213129|1000002|1734052211|1736644211
20241213|1000003|1734049023|1736641023
20241213|1000005|1734048924|1736640924
20213129|1000001|1734015558|1736607558
